,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,0,u1,84
13,1,t1,89
14,2,u2,101
15,3,t2,106
16,4,u3,118
17,5,t3,123
18,6,u4,2833
19,7,t4,2838
20,8,u5,2850
21,9,t5,2855
22,10,u6,2961
23,11,t6,2966
24,12,u7,2978
25,13,t7,2983
26,0,u1,2985
27,1,t1,2990
28,2,u2,3002
29,3,t2,3007
30,4,u3,3019
31,5,t3,3024
32,6,u4,3026
33,7,t4,3031
34,8,u5,3043
35,9,t5,3048
36,10,u6,3154
37,11,t6,3159
38,12,u7,3171
39,13,t7,3176
40,0,u1,3178
41,1,t1,3183
42,2,u2,3195
43,3,t2,3200
44,4,u3,3212
45,5,t3,3217
46,6,u4,3219
47,7,t4,3224
48,0,u1,3226
49,1,t1,3231
50,2,u2,3243
51,3,t2,3248
52,4,u3,3260
53,5,t3,3265
54,8,u5,3267
55,9,t5,3272
56,10,u6,3378
57,11,t6,3383
58,12,u7,3395
59,6,u4,5816
60,7,t4,5821
61,8,u5,5833
62,9,t5,5838
63,10,u6,5944
64,11,t6,5949
65,13,t7,5951
66,12,u7,5961
67,13,t7,5966
68,6,u4,6009
69,0,u1,6011
70,1,t1,6016
71,2,u2,6028
72,3,t2,6033
73,7,t4,6035
74,4,u3,6045
75,5,t3,6050
76,8,u5,6052
77,9,t5,6057
78,10,u6,6163
79,11,t6,6168
80,12,u7,6180
81,13,t7,6185
82,0,u1,6187
83,1,t1,6192
84,2,u2,6204
85,3,t2,6209
86,4,u3,6221
87,5,t3,6226
88,6,u4,6228
89,7,t4,6233
90,8,u5,6245
91,0,u1,6247
92,1,t1,6252
93,9,t5,6254
94,10,u6,6360
95,11,t6,6365
96,12,u7,6377
97,13,t7,6382
98,2,u2,6384
99,3,t2,6389
100,4,u3,6401
101,5,t3,6406
102,6,u4,8842
103,7,t4,8847
104,8,u5,8859
105,9,t5,8864
106,10,u6,8970
107,11,t6,8975
108,6,u4,9018
109,12,u7,9020
110,13,t7,9025
111,7,t4,9027
112,8,u5,9039
113,9,t5,9044
114,10,u6,9150
115,11,t6,9155
116,12,u7,9167
117,13,t7,9172
118,0,u1,9174
119,1,t1,9179
120,2,u2,9191
121,3,t2,9196
122,4,u3,9208
123,5,t3,9213
124,0,u1,9215
125,1,t1,9220
126,0,u1,9222
127,2,u2,9232
128,3,t2,9237
129,4,u3,9249
130,5,t3,9254
131,1,t1,9256
132,2,u2,9268
133,3,t2,9273
134,4,u3,9285
135,5,t3,9290
136,6,u4,9292
137,7,t4,9297
138,6,u4,12005
139,7,t4,12010
140,8,u5,12012
141,9,t5,12017
142,10,u6,12123
143,0,u1,12125
144,11,t6,12128
145,1,t1,12130
146,2,u2,12142
147,3,t2,12147
148,4,u3,12159
149,12,u7,12161
150,5,t3,12164
151,13,t7,12166
152,8,u5,12168
153,9,t5,12173
154,10,u6,12279
155,11,t6,12284
156,12,u7,12296
157,6,u4,12298
158,13,t7,12301
159,7,t4,12303
160,6,u4,12305
161,7,t4,12310
162,8,u5,12315
163,9,t5,12320
164,10,u6,12426
165,11,t6,12431
166,12,u7,12443
167,8,u5,12445
168,9,t5,12450
169,10,u6,12556
170,11,t6,12561
171,13,t7,12563
172,12,u7,12573
173,13,t7,12578
174,6,u4,14956
175,7,t4,14961
176,8,u5,14973
177,9,t5,14978
178,10,u6,15084
179,11,t6,15089
180,12,u7,15101
181,13,t7,15106
