actions,time
0,2
1,7
0,9
1,14
0,16
2,21
1,23
0,25
3,27
2,29
1,31
0,33
3,35
2,37
1,39
0,41
4,43
3,45
2,47
1,49
0,51
5,53
4,55
3,57
2,59
1,61
0,63
5,65
4,67
3,69
2,71
1,73
5,75
4,77
15,79
2,81
5,83
6,2845
7,2850
4,2852
3,2854
8,2856
5,2858
6,2860
9,2862
2,2864
7,2866
4,2868
3,2870
5,2873
6,2875
10,2968
11,2973
8,2975
7,2977
4,2979
9,2981
5,2984
6,2986
10,3087
7,3089
6,5650
11,5652
8,5654
7,5656
6,5665
9,5667
12,5669
10,5773
13,5775
12,5777
11,5779
8,5781
7,5783
6,5785
9,5787
13,5789
12,5793
13,5798
10,5893
11,5898
8,5900
7,5902
9,5905
12,5912
13,5917
10,6011
11,6016
8,6018
9,6023
12,6030
13,6035
10,6129
11,6134
8,6136
9,6141
12,6148
13,6153
10,6247
11,6252
14,6254
9,6259
12,6266
13,6271
10,6365
11,6370
12,6384
